Fecha Bajada,ID,Consulta1[CUIT],Consulta1[NombreDist],Consulta1[Fechacreacion],Consulta1[TipoCuenta],Consulta1[Direccion],Consulta1[Ciudad],Consulta1[Provincia_txt],Consulta1[CP],Consulta1[SalesDistrict],Consulta1[SalesDistrict_txt],Consulta1[SalesOffice],Consulta1[SalesOffice_txt],Consulta1[SalesGroup],Consulta1[SalesGroup_txt],Consulta1[CustomerGroup],Consulta1[CustomerGroup_txt],exists_in_tms
2026-03-02,3512591,27265022982,GARCIA LORENA ELIZABETH,2014-11-05T00:00:00,ShipTo,GARIBALDI 2900,LOMAS DE ZAMORA,Buenos Aires,1832,E00025,C - S - NUCLEO,E116,S - NUCLEO 4 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,1819895,30708943556,GIORDA GABRIEL NESTOR Y GOMEZ JAVIE,2005-04-11T00:00:00,SoldTo,JULIO A ROCA 1570,SASTRE,Santa Fe,2440,E00022,C - N - ESTE,E102,N - ESTE 5 - C,E40,0040 Central Maipu,EV,Dist. Selecta PLUS,True
2026-03-02,1822440,30708943556,GIORDA GABRIEL NESTOR Y GOMEZ JAVIE,2005-06-08T00:00:00,ShipTo,RUTA 13 N 679,MARIA JUANA,Santa Fe,2445,E00022,C - N - ESTE,E102,N - ESTE 5 - C,E40,0040 Central Maipu,EV,Dist. Selecta PLUS,True
2026-03-02,1803065,30560702597,GRANEL SUR SA,2004-12-17T00:00:00,SoldTo,25 DE MAYO 565 Piso:PB,CIUDAD AUTONOMA BUENOS AIRES,Capital Federal,1002,E00024,C - S - SUR,E108,S - SUR 1 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,3262004,30560702597,GRANEL SUR SA,2011-01-26T00:00:00,ShipTo,FABIAN GOMEZ Y 11 DE SEPTIEMBRE,GENERAL PIRAN,Buenos Aires,7172,E00024,C - S - SUR,E108,S - SUR 1 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,3262006,30560702597,GRANEL SUR SA,2011-01-26T00:00:00,ShipTo,AV DE LA CRUZ 2810,LIMA,Buenos Aires,2806,E00024,C - S - SUR,E108,S - SUR 1 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,3262007,30560702597,GRANEL SUR SA,2011-01-26T00:00:00,ShipTo,"RUTA 2 KM 51,65",LA PLATA,Buenos Aires,1900,E00024,C - S - SUR,E108,S - SUR 1 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,3262008,30560702597,GRANEL SUR SA,2011-01-26T00:00:00,ShipTo,RUTA 31 CUARTEL 2Âº,SAN ANTONIO DE ARECO,Buenos Aires,2760,E00024,C - S - SUR,E108,S - SUR 1 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,3262016,30560702597,GRANEL SUR SA,2011-01-26T00:00:00,ShipTo,RUTA 88 MIRAMAR,MIRAMAR,Buenos Aires,7607,E00024,C - S - SUR,E108,S - SUR 1 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,3262017,30560702597,GRANEL SUR SA,2011-01-26T00:00:00,ShipTo,SUCURSAL CALLE SIN NUMERO,LEZAMA,Buenos Aires,7130,E00024,C - S - SUR,E108,S - SUR 1 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,3643010,30560702597,GRANEL SUR SA,2017-06-27T00:00:00,ShipTo,"RUTA 41 KM 267,300",SAN ANDRES DE GILES,Buenos Aires,6725,E00024,C - S - SUR,E108,S - SUR 1 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,3906378,30560702597,GRANEL SUR SA,2024-05-23T00:00:00,ShipTo,CALLE 7 170 - ACCESO BASE AEREA,TANDIL,Buenos Aires,7000,E00024,C - S - SUR,E108,S - SUR 1 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,False
2026-03-02,3591499,30709089923,GRANOS DEL PLATA SRL,2016-06-14T00:00:00,SoldTo,RUTA AO 12 KM 63,RICARDONE,Santa Fe,2201,E00033,I - N - NUCLEO,E147,N - NUCLEO 6 - I,E97,0974 Gra. del Plata,E2,Centro de Soluciones,True
2026-03-02,3790092,30709089923,GRANOS DEL PLATA SRL,2021-09-20T00:00:00,SoldTo,RUTA 13 KM 31,EL TREBOL,Santa Fe,2535,E00033,I - N - NUCLEO,E147,N - NUCLEO 6 - I,E55,GRANOS DEL PLATA SRL,E2,Centro de Soluciones,True
2026-03-02,3867881,30718027280,GROW CROPS S.A.,2023-11-14T00:00:00,SoldTo,RUTA 32 KM.2.8 87,PERGAMINO,Buenos Aires,2700,E00025,C - S - NUCLEO,E116,S - NUCLEO 4 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,3703929,30716089467,GRUPO ABS S.R.L.,2018-11-07T00:00:00,SoldTo,RUTA 16 KM 259,PAMPA DEL INFIERNO,Chaco,3708,E00019,C - N - NEA,E085,N - NEA 1 - C,E40,0040 Central Maipu,EV,Dist. Selecta PLUS,True
2026-03-02,3373780,30711897662,GRUPO ALIAR SA,2012-08-29T00:00:00,SoldTo,1 DE ENERO 67 Dpto:213 T:II - BARRI,SANTA FE,Santa Fe,3000,E00022,C - N - ESTE,E102,N - ESTE 5 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,3636841,30711897662,GRUPO ALIAR SA,2017-05-18T00:00:00,ShipTo,CARLOS BECK BERNARD 27,SAN CARLOS SUD,Santa Fe,3017,E00022,C - N - ESTE,E102,N - ESTE 5 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,3674579,30711897662,GRUPO ALIAR SA,2018-03-21T00:00:00,ShipTo,"RUTA 18 KM 12,5",PARANA,Entre Rios,3100,E00022,C - N - ESTE,E102,N - ESTE 5 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,3708888,30711897662,GRUPO ALIAR SA,2019-01-10T00:00:00,ShipTo,"RUTA 6 KM 55,5 ACCESO SUR FRANCK",FRANCK,Santa Fe,3009,E00022,C - N - ESTE,E102,N - ESTE 5 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,3744285,30711897662,GRUPO ALIAR SA,2019-12-19T00:00:00,ShipTo,PARQUE INDUSTRIAL SAUSE COLEC NTE,SANTA FE,Santa Fe,13208,E00022,C - N - ESTE,E102,N - ESTE 5 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,3792413,30711897662,GRUPO ALIAR SA,2021-11-15T00:00:00,ShipTo,COLECTORA NORTE LOTE 159 B/2 ENTRE,SAUCE VIEJO,Santa Fe,3017,E00022,C - N - ESTE,E102,N - ESTE 5 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,1807464,33581249549,GRUPO QUEMU S. A,2004-12-17T00:00:00,SoldTo,LAS HERAS 677,QUEMU QUEMU,La Pampa,6333,E00036,I - S - OESTE,E159,S - OESTE 3 - I,EJW,0356 Cereales Quemu,E2,Centro de Soluciones,True
